Disease name,Text
Contact Dermatitis,"""My eyelids are swollen and puffy, and they feel itchy and sore. I tried a new eyeshadow yesterday, could that be it?"""
Vitiligo,"""My brother has Vitiligo, and I recently noticed some similar white patches on my fingers. Should I be concerned about developing the condition further? Is there anything I can do to prevent it?"""
Scabies,"""I'm due in a few weeks, and I've got this awful itching all over my belly and breasts. It's keeping me up at night, and I'm worried about passing it on to the baby. What could it be?"""
Contact Dermatitis,"Contact dermatitis presents with several characteristic symptoms upon skin exposure to irritants or allergens. These include redness, itching, and skin inflammation, often accompanied by a rash or blisters. The affected area might develop dryness, scaling, or thickening of the skin. Pain or tenderness can also be experienced. Contact dermatitis can manifest differently based on the irritant or allergen encountered, with symptoms appearing immediately or after prolonged exposure. In severe cases, symptoms may extend beyond the contact area, causing discomfort. Prompt identification of triggers and avoidance is essential for managing this condition effectively."
Impetigo,"Impetigo, a highly contagious bacterial skin infection, typically presents with distinctive symptoms. This condition commonly appears as red sores or blisters, often around the mouth and nose, but can occur on other parts of the body. These sores quickly rupture, forming honey-colored crusts. Itching, discomfort, and swollen lymph nodes may accompany the skin lesions. Impetigo can spread through direct contact, and in severe cases, fever or swollen glands might develop. Prompt medical attention is crucial to prevent the infection from spreading and to facilitate faster healing while minimizing the risk of complications"
Acne,"""I don't even want to look in the mirror because of my acne. It's making me feel really self-conscious, and I don't want to go to school or be around anyone. Can you help me clear it up so I can feel confident again?"""
Acne,"""My parents both had bad acne when they were younger, and I'm starting to develop the same kind of breakouts. Is there anything I can do to prevent it from getting as bad as theirs?"""
Impetigo,"""I have these painful pustules around my sores from sleeping outside. They're crusting and spreading, and I'm worried about getting an infection."""
Folliculitis,"""After using a new steroid cream for my eczema, I developed these painful bumps where I applied it. They're red and pus-filled, and they sting when I touch them."""
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?"""
Folliculitis,"""Doctor, I have these small, itchy bumps on my scalp that keep getting red and pus-filled. They sometimes hurt when I touch them."""
Hives (Urticaria),"""My hives have been coming and going for months now. I've tried everything, but nothing seems to work! It's affecting my sleep and daily life."""
Shingles (Herpes Zoster),"""I've had this strange tingling and itching on my left shoulder for a couple of days. Now, it's turned into a red, bumpy rash that's spreading down my arm. It's so uncomfortable, and I'm worried it might be something contagious."""
Impetigo,"""I noticed these red, itchy blisters on my chin yesterday. They seem to be spreading, and now they're crusting over. I think I might have gotten it from sharing a towel at the gym."""
Ringworm (Tinea Corporis),"Ringworm, also known as Tinea Corporis, presents as a fungal infection characterized by several distinct symptoms. It typically appears as red, scaly patches on the skin, often with raised edges, resembling a ring. These circular or oval-shaped rashes may cause itching, discomfort, or a burning sensation. They commonly occur on the arms, legs, trunk, or face, spreading through direct contact with infected individuals or contaminated objects. In some cases, the patches can have a clear center with a red, raised border. Additionally, the affected skin might show signs of inflammation or blistering. Seeking prompt treatment helps alleviate symptoms and prevent the infection from spreading."
Shingles (Herpes Zoster),"Shingles, caused by the varicella-zoster virus (the same virus that causes chickenpox), typically starts with a tingling, burning, or stabbing pain in a specific area on one side of the body. This often precedes the appearance of a red rash, which develops into fluid-filled blisters. The rash follows a dermatomal pattern, resembling a band or strip along the nerves. Other symptoms include itching, sensitivity to touch, and sometimes fever, headache, or fatigue. Pain can range from mild to intense and may persist even after the rash disappears. Prompt medical attention is crucial to manage symptoms and reduce the risk of complications."
Ringworm (Tinea Corporis),"""I've noticed this weird patch on my leg that's kind of silvery and dry. It doesn't hurt much, but it's a little itchy, especially at night. Is it some kind of rash?"""
Scabies,"""Just returned from a backpacking trip in Southeast Asia, and I've been getting these itchy bumps on my arms and legs. They weren't there before, and I'm wondering if it's something I picked up along the way."""
Athlete's Foot (Tinea Pedis),"""After spending all summer at the pool, my feet started to itch and peel between my toes. The skin is raw and burning now, and I'm worried it might be something contagious."""
Vitiligo,"""Hi doc, I've been meaning to discuss these white spots on my chest that keep appearing. They show up more when I'm stressed or anxious, and I'm worried it might be affecting my confidence at work. Can you explain what's going on and is there anything I can do to manage it?"""
Eczema,"""My skin gets really irritated after training, especially around my elbows and knees. It's itchy and painful, and it's affecting my performance."""
Scabies,"""I've been feeling extra itchy lately, especially on my inner thighs and abdomen. I'm on medication for my immune system, so I'm worried it might be a fungal infection or something else."""
Athlete's Foot (Tinea Pedis),"""After training today, my feet felt hot and inflamed, especially around the arches. Now, they're itching like crazy, and there's this weird white peeling between my toes."""
Ringworm (Tinea Corporis),"""Coach, I have this ring-shaped patch on my chest that's really itchy and won't stop bothering me. I think it might be from using the shared mat at the gym."""
Impetigo,"""My wife has these red, crusty sores on her hands that she says are from working in the garden. They look painful and swollen, and I'm worried she might have an infection."""
Shingles (Herpes Zoster),"""I'm a teacher, and I'm constantly exposed to sick kids. Now, I have this burning rash on my back that's making it hard to move around. I'm worried I might be contagious and put my students at risk."""
Acne,"""I've always had a little bit of acne, but it's gotten so much worse recently. I feel like I can't even look in the mirror without feeling self-conscious. It's affecting my confidence and social life, and I'm feeling really down about it. Can you help me get my skin back to normal?"""
Rosacea,"""My skin is very sensitive to the sun, and any exposure makes my rosacea worse. I get these red patches and pustules, and my eyes feel irritated and watery. I'm struggling to find sunscreen that doesn't trigger flare-ups."""
Folliculitis,"""I've been working in a factory where we use oil and grease, and now I have these painful bumps on my arms and forearms. They look like blackheads, but they're getting bigger and more inflamed."""
Folliculitis,"""I've been taking antibiotics for a long time, and now I have these itchy, red bumps on my arms and legs. They seem to be spreading, and I'm worried about an infection."""
Vitiligo,"""I've been diagnosed with Vitiligo, and I'm interested in treatment options. I've heard about creams, light therapy, and even surgery. Can you explain the pros and cons of each and help me find the best approach for my case?"""
Shingles (Herpes Zoster),"""I'm pregnant and have been feeling under the weather. Now, I have this burning rash on my stomach that's making me nervous. I'm worried it might harm the baby, and I don't know what to do."""
Ringworm (Tinea Corporis),"""I'm worried about this red, ring-shaped patch on my arm. My immune system isn't great, and I'm concerned it might be something more than just a harmless rash."""
Scabies,"""I've been treating a patient with scabies lately, and now I'm starting to get itchy myself, especially on my wrists and inside my elbows. Could I have caught it from them?"""
Acne,"""Hi doctor, I've been noticing these small, itchy bumps on my face lately. They seem to be spreading, and some of them have even turned into little whiteheads. I'm not sure what they are, but they're bothering me and I'm worried they might be getting worse. Could you take a look?"""
Ringworm (Tinea Corporis),"""Mommy, my tummy itches! There's a round, red patch and it makes me want to scratch all the time. Can you put some cream on it?"""
Psoriasis,"""My usual psoriasis patches on my elbows seem worse since I got pregnant. I'm worried about using medications and their impact on the baby."""
Psoriasis,"""I have these red, bumpy patches on my arms and legs that make me feel ugly. I don't like wearing shorts or tank tops anymore, and I avoid the pool."""
Eczema,"""I've developed these dry, itchy patches on my hands and arms. It's making it hard to focus at work and even do simple tasks like washing dishes."""
Acne,"""I love wearing makeup, but lately it seems like it's making my acne worse. I try to keep my brushes clean and use non-comedogenic products, but it just doesn't seem to help. Do you think it's time to give up makeup altogether?"""
Hives (Urticaria)," ""I've been feeling stressed lately, and today all these red welts suddenly appeared on my chest and back. They sting and make it hard to sleep. Could it be stress hives?"""
Athlete's Foot (Tinea Pedis),"""Mommy, my feet itch so much I can't stop scratching! And they look funny between my toes, like there's white skin peeling off."""
Folliculitis,"""I have these red, inflamed bumps on my chin and beard area. They're getting bigger and more painful, and I'm worried about scarring."""
Hives (Urticaria),"""After eating some shellfish yesterday, I started getting these itchy welts on my hands and face. My throat feels a bit tight too. Am I having an allergic reaction?"""
Scabies,"""Coach, I've been having this intense itching between my fingers and toes lately. It's starting to affect my training, and I'm worried it might be contagious. What should I do?"""
Scabies,"""Mommy, my hands and arms itch like crazy! I can't stop scratching, and it makes me cry. Is there something wrong with my skin?"""
Shingles (Herpes Zoster),"""I'm a biker, and I noticed this strange rash on my chest after a long ride. It's red and blistering, and it hurts like crazy when I put on my leather jacket. I thought it was just chafing, but now I'm concerned."""
Contact Dermatitis," ""My neck is red and irritated, and the new necklace I got keeps leaving a mark. It didn't bother me at first, but now it's really itchy and uncomfortable."""
Rosacea," ""I've noticed my nose has become thicker and bulbous over the years, and I'm concerned it might be related to my rosacea. I also have these red patches and visible blood vessels on my cheeks."""
Scabies,"""Hey doc, I have this intense itching all over my body, especially between my fingers and toes. It's driving me nuts! I've tried everything to stop scratching, but it just gets worse at night."""
Ringworm (Tinea Corporis),"""Mommy, my eczema seems to be getting worse. The usual patches are itching more, and there's a new, red ring around one of them. Could it be something different?"""
Rosacea," ""Doctor, my face has been so red and flushed lately, especially around my cheeks and nose. It's like I'm constantly blushing, and it makes me feel self-conscious. I also have these small, red bumps that sometimes feel itchy and burning."""
Hives (Urticaria)," ""My doctor thinks my new medication might be causing these hives. They're not as bad as some of my other symptoms, but they're still annoying."""
Vitiligo,"""Doctor, I understand Vitiligo isn't a serious medical condition, but it's really affecting my self-esteem and social life. I feel self-conscious about showing my skin, and I'm starting to withdraw from others. Are there any resources or support groups available?"""
Ringworm (Tinea Corporis),"""I've been under a lot of stress lately, and now I have this itchy, circular patch on my back that won't go away. I'm not sure if it's related to the stress or something else."""
Eczema,"""My face has been breaking out like crazy lately, and it's really itchy. It's embarrassing and uncomfortable, and I'm starting to lose confidence."""
Eczema,"""I'm not sure if I have eczema, but I have these itchy, red patches on my skin. I want to know what I can do to manage it and prevent it from getting worse."""
Eczema,"""My skin has been getting more sensitive lately, especially on my belly. It's itchy and red, and I worry it might be affecting the baby."""
Folliculitis,"""I have these tiny, red bumps on my upper thighs that itch like crazy. They seem to worsen after shaving or wearing tight clothing."""
Psoriasis,"Psoriasis, a chronic skin condition, presents diverse symptoms characterized by red, scaly patches that may appear anywhere on the body. These patches, often itchy and sometimes painful, vary in size and severity. Commonly affected areas include elbows, knees, scalp, and lower back. Individuals may experience thickened, silvery-white scales accompanied by dry, cracked skin that can bleed. Psoriasis might also cause nail changes, such as pitting or discoloration, and joint pain in some cases. While symptoms differ among individuals, this condition's persistent nature may lead to physical discomfort and emotional distress, necessitating tailored treatment plans for symptom management."
Impetigo,"""These itchy blisters on my face haven't gone away despite using over-the-counter cream. They started small and now they're oozing and crusting over. Could it be impetigo?"""
Vitiligo,"Vitiligo, a skin condition affecting pigmentation, exhibits distinct symptoms, notably the development of white patches due to the loss of melanin. These patches often appear on various body parts, including the face, hands, elbows, knees, and genitalia. The condition typically progresses over time, spreading unpredictably or remaining stable. Vitiligo isn't inherently painful or contagious, but it can lead to emotional distress and social stigma due to its noticeable appearance. Besides the prominent depigmented patches, individuals with vitiligo might experience premature graying of scalp hair, eyelashes, and eyebrows, further highlighting the contrast with unaffected skin areas."
Rosacea," ""My skin has been really sensitive lately, and it gets easily irritated by certain products and even the weather. I have these red patches and pustules on my nose that come and go, and sometimes my eyes feel watery and itchy."""
Psoriasis,"""My skin is itchy and sometimes hurts, and it looks different from my friends'. My mom says it's called psoriasis, but I don't understand."""
Impetigo,"""I have these painful sores on my arm that look infected. They started as red bumps and now they're crusty and honey-colored. I have diabetes, so I'm worried about infection."""
Hives (Urticaria)," ""Every time I go swimming or drink something cold, my lips swell up and I get itchy welts all over. It's embarrassing and uncomfortable."""
Psoriasis,"""I have these red, itchy patches on my elbows and knees that won't go away. They're flaky and sometimes bleed when I scratch. I'm really self-conscious about them, especially in the summer."""
Shingles (Herpes Zoster),"""I haven't been sleeping well, and I have this constant pain in my eye. Now, I see this red, crusty rash on my forehead that's making my vision blurry. I'm worried I might be getting blind."""
Acne,"""I barely get enough sleep between classes and work, and I think it's taking a toll on my skin. My acne seems to be getting worse, and I have these dark circles under my eyes. I know I need to get more sleep, but it's hard to find the time. Do you have any advice?"""
Psoriasis,"""I've tried traditional medications, but they haven't worked well for me. I'm interested in exploring alternative therapies like acupuncture or dietary changes."""
